B0101 B0101,0.0 0.0,0.0 0.0.1,INDIA INDIA,Total Total,10-14 15-19,132709212.0 120526449.0,69418835.0 63982396.0,63290377.0 56544053.0,3244439.0 17703310.0,2033172.0 12721891.0,1211267.0 4981419.0,1542262.0 3054963.0,779362.0 1645507.0,762900.0 1409456.0,2808324.0 9458107.0,1450309.0 5330282.0,1358015.0 4127825.0,1263407.0 6501739.0,726515.0 4165965.0,536892.0 2335774.0,125114187.0 90310069.0,65155992.0 44284716.0,59958195.0 46025353.0,2853891.0 15134928.0,1577333.0 8423500.0,1276558.0 6711428.0
B0101,0.0,0.0,INDIA,Rural,25-29,66068270.0,33375989.0,32692281.0,32040359.0,23336334.0,8704025.0,2235081.0,941150.0,1293931.0,11257886.0,5538638.0,5719248.0,7373418.0,4448826.0,2924592.0,20534944.0,3559867.0,16975077.0,5215130.0,1665344.0,3549786.0
B0101,0.0,0.0,INDIA,Rural,30-34,57911779.0,28934192.0,28977587.0,30774663.0,22207414.0,8567249.0,1883233.0,715254.0,1167979.0,9824815.0,4478125.0,5346690.0,6060012.0,3481314.0,2578698.0,15429068.0,1533399.0,13895669.0,3030242.0,618714.0,2411528.0
B0101,0.0,0.0,INDIA,Rural,35-39,56062707.0,28125561.0,27937146.0,31321754.0,22346701.0,8975053.0,1766151.0,652304.0,1113847.0,9325795.0,4111518.0,5214277.0,5541217.0,3113522.0,2427695.0,13649007.0,1015038.0,12633969.0,2331394.0,341982.0,1989412.0
B0101,0.0,0.0,INDIA,Rural,40-49,88269236.0,45429505.0,42839731.0,50854565.0,36838786.0,14015779.0,2659901.0,983363.0,1676538.0,13940864.0,6083685.0,7857179.0,7580725.0,4289468.0,3291257.0,20813906.0,1523671.0,19290235.0,2668226.0,377721.0,2290505.0
B0101,0.0,0.0,INDIA,Rural,50-59,57893302.0,29326076.0,28567226.0,31470188.0,23149486.0,8320702.0,1779315.0,667548.0,1111767.0,8299867.0,3656381.0,4643486.0,3816549.0,2194916.0,1621633.0,16343932.0,1852661.0,14491271.0,1249675.0,235613.0,1014062.0
B0101,0.0,0.0,INDIA,Rural,60-69,45207515.0,22139903.0,23067612.0,18310474.0,13647640.0,4662834.0,1471057.0,658568.0,812489.0,5300764.0,2680342.0,2620422.0,2025840.0,1252261.0,773579.0,20125220.0,5153353.0,14971867.0,801282.0,250171.0,551111.0
B0101,0.0,0.0,INDIA,Rural,70-79,20191317.0,10091603.0,10099714.0,5456662.0,4339618.0,1117044.0,532642.0,294673.0,237969.0,1499460.0,894517.0,604943.0,463504.0,316068.0,147436.0,12702553.0,4562795.0,8139758.0,229666.0,91875.0,137791.0
B0101,0.0,0.0,INDIA,Rural,80+,7894990.0,3765796.0,4129194.0,1374336.0,1074898.0,299438.0,146507.0,84210.0,62297.0,404724.0,236456.0,168268.0,134785.0,87954.0,46831.0,5969423.0,2370232.0,3599191.0,74825.0,29769.0,45056.0
B0101,0.0,0.0,INDIA,Rural,Age not stated,2913452.0,1533420.0,1380032.0,760624.0,539399.0,221225.0,55920.0,26359.0,29561.0,283476.0,143913.0,139563.0,130031.0,79866.0,50165.0,1813432.0,823749.0,989683.0,64098.0,30768.0,33330.0
B0101,0.0,0.0,INDIA,Rural,15-59,483942812.0,247900542.0,236042270.0,216697315.0,156551166.0,60146149.0,15803828.0,6723939.0,9079889.0,72542962.0,34551256.0,37991706.0,44285520.0,26335666.0,17949854.0,178898707.0,50074181.0,128824526.0,34229498.0,13421687.0,20807811.0
